"date","exp_condition","indivOrGroup","info_share_cost","confirmationID","amazonID","latency","totalEarning","bonus_for_waiting","completionFee","totalPayment","age","sex","country","q1","q2","q3","q4"
"20211119_1418","binary","1","200","0n5gEV5rPvg9nhqoAABR","57be9976c5234c00014706c1","-1","0.00","0.16","0","0.2","46","2","NA","-1","-1","-1",""
"20211119_1418","binary","1","200","6Wsjlf5pwz30A6NnAAAe","58378b753c7b7f0001fa8af6","-1","0.67","0.75","0","1.4","58","1","NA","-1","-1","-1","It was working fine."
"20211119_1418","binary","1","20","bjVfIApiYC3v1apLAAAy","5f181092bc89f00dc2e577a2","-1","1.16","0.47","0","1.6","34","1","NA","-1","-1","-1","My connection seemed fine. Not sure what happened?"
"20211119_1418","binary","1","20","ysDy6hmbo1NjEWSBAAAD","56d2fdff321cae000d68d946","-1","0.88","0.6","0","1.5","36","2","NA","-1","-1","-1","yes,internet was fine, computer was working hard though"
"20211119_1418","binary","1","0","uDKGU9p8qCQFthQ-AABe","543e85adfdf99b7356902e90","-1","0.00","0.21","0","0.2","49","1","NA","-1","-1","-1","Yes, it worked perfectly."
"20211119_1418","binary","1","200","xanB-RZyVVgq-1vdAABa","5f8c9e3a56536a42fa883293","-1","0.00","0.33","0","0.3","57","2","NA","-1","-1","-1","Yes it did."
"20211119_1418","binary","1","200","H5JkRq8SUsY3ylknAABS","5ea1a7f4059c49070ad7c787","-1","0.00","0.56","0","0.6","31","2","NA","-1","-1","-1","My internet connection was perfect"
"20211119_1418","binary","1","20","eAFQMe-9O3ayQOdyAAAE","611020d5c23bd55ba7e60dc8","-1","0.88","0.18","0","1.1","47","1","NA","-1","-1","-1","Yes"
"20211119_1418","binary","1","0","_kMAvMxIAlQj6pMgAAAW","617549396c0995e440960b5d","-1","2.10","0.29","0","2.4","33","1","NA","-1","-1","-1","My internet connection was fine"
"20211119_1418","binary","1","0","pCnssvTbfID9bdkoAABU","5f3ad1066e42ae76ba87cb2d","-1","0.23","0.61","0","0.8","29","2","NA","-1","-1","-1","Yes, my internet connection is fine."
"20211119_1418","binary","1","200","TWGbpX3_r5dPnQpMAABP","5c66d6a50d7f5f00014b8ab0","-1","0.00","0.95","0","1","35","1","NA","-1","-1","-1","My internet connection had no problems. Was the game unable to find enough potential players I wonder?"
"20211119_1418","binary","1","0","oU2U3GGPQLDE3QrTAAAn","61411e19e47c25d15fad2eb0","-1","2.11","0.57","0","2.7","22","2","NA","-1","-1","-1","not sure"
"20211119_1418","binary","1","0","L8M6OEJMY-hP88yGAAAb","602a92432b8e88094f75598b","-1","2.10","0.4","0","2.5","24","2","NA","-1","-1","-1","My internet was stable throughout the task"
"20211119_1418","binary","1","0","gk9ib51cSmIFoZZSAAAt","5e16d8f5bf3d4eca3bcf290f","-1","2.11","0.39","0","2.5","44","2","NA","-1","-1","-1","My internet connection was fine. "
"20211119_1418","binary","1","200","BpLhI5zet6O8tIjAAAAk","5b97a1e083bd380001b92485","-1","0.67","0.62","0","1.3","32","1","NA","-1","-1","-1","It all seemed to work fine!"
"20211119_1418","binary","1","20","gcstQch2QIqOvHjNAAAQ","5e3411400082f13d625e7880","-1","0.78","0.55","0","1.3","35","1","NA","-1","-1","-1","My internet works fine"
"20211119_1418","binary","1","20","onGnAhY0CqaH98u2AAA2","6028e8deb16a4524f12629de","-1","1.16","0.53","0","1.7","24","2","NA","-1","-1","-1","My internet is working fine and I did not click off from the browser - I am not sure why it would disconnect! This is a shame as I was enjoying the task!"
"20211119_1418","binary","1","200","t_Lo_bGU5hWBdmc0AAAf","596f961cfe061d00011e3e03","-1","0.67","0.64","0","1.3","28","2","NA","-1","-1","-1","my internet worked well"
"20211119_1418","binary","1","200","wSZfD8_9VLmWV7LKAAAU","5ecd22e76997ec03464c71aa","-1","1.79","0.3","0","2.1","55","1","NA","-1","-1","-1","Coinnection was fine - interesting t do and I hope the data is useful!"
"20211119_1418","binary","1","200","Ib7PhfHgnpZFjEL9AAAh","605687b39a405b2f86f2fccd","-1","0.67","0.62","0","1.3","21","2","NA","-1","-1","-1","I've just received a message saying there was a technical error on my end "
"20211119_1418","binary","1","20","A14u6V0xBDNpi7AdAAAc","612e4beb040a04a82b16d4c3","-1","0.78","0.53","0","1.3","38","1","NA","-1","-1","-1","My internet connection is usually very reliable."
"20211119_1418","binary","1","20","u3yF4E-xAcjJKB55AAAF","5b90db3c2f789f00011c5ed5","-1","0.88","0.56","0","1.4","57","2","NA","-1","-1","-1","I have no problems with my connection so I'm not sure why this happened."
"20211119_1418","binary","1","20","tKZAEXtK1qwpLOSdAAAm","60e564056acbe72cb648e68a","-1","0.18","0.56","0","0.7","21","2","NA","-1","-1","-1","My internet connection had no issues"
"20211119_1418","binary","1","0","om6YP3kWiLMGaZdlAABf","6098d1e12b9970925b41828d","-1","0.00","0.16","0","0.2","39","1","NA","-1","-1","-1","My internet is stable, it claimed 2/5 people were ready then timed out"
"20211119_1418","binary","1","20","nL3fC9WVNHjMX3GMAABE","5f775f87728936283e553478","-1","0.18","0.7","0","0.9","51","1","NA","-1","-1","-1","My internet connection is fine"
"20211119_1418","binary","1","0","9X1I2W9Hq6OPgHMGAABL","5d67f7470b04ed00010ff8fe","-1","0.00","0.15","0","0.2","50","1","NA","-1","-1","-1","being dyslexic the question at end made it difficult to remeber due to short term memory issues if it highlighted which question i got wrong it would make it easier to retain the information in order to carry out the task"
"20211119_1418","binary","1","20","w5yWsSnCfQyzHhdbAAAp","5ac033fa68b65b00018d2c1a","-1","0.18","0.76","0","0.9","37","1","NA","-1","-1","-1","My internet connection seemed perfectly fine, however the fact that I am on this page right now suggests otherwise."
"20211119_1418","binary","1","0","Z01Yd9HIU4T0PyQxAAA-","61339c01d91980bca68ca38e","-1","0.23","0.4","0","0.6","24","2","NA","-1","-1","-1","Yes but my network connection for other things if fine"
"20211119_1418","binary","1","20","IMu7mlAGag4zFuR8AAA0","5c61b5da31489a0001fa81c5","-1","1.16","0.48","0","1.6","57","2","NA","-1","-1","-1","Yes. Stable expensive Virgin cable"
"20211119_1418","binary","1","200","vRepW5F8owyuVI0rAABF","5ed403a89542210ab77530b7","-1","1.79","0.08","0","1.9","28","1","NA","-1","-1","-1","My internet connection is stable and the whole study was working well and quickly until I suddenly reached this page?"
"20211119_1418","binary","1","0","csd18kU7GfYKVbFOAAA9","5e07aa9cb638531138f72587","-1","0.13","0.4","0","0.5","55","1","NA","-1","-1","-1","My connection did not drop during the experiment"
"20211119_1418","binary","1","0","csd18kU7GfYKVbFOAAA9","5e07aa9cb638531138f72587","-1","0.13","0.4","0","0.5","55","1","NA","-1","-1","-1","My connection did not drop during the experiment"
"20211119_1418","binary","1","0","QQhe4dD_cH9TpU7YAAA_","5eca536f9aa4f658d641a7d9","-1","0.23","0.39","0","0.6","51","2","NA","-1","-1","-1","Yes it did"
"20211119_1418","binary","1","200","OSX3d_M7MwjBCFatAABO","5fed9b2291948ab1c1fb2351","-1","0.00","0.18","0","0.2","62","2","NA","-1","-1","-1","No problem with internet connection. Instructions were confusing"
"20211119_1418","binary","1","0","KQxFZ3TGdHIkLnlTAAAd","5e9edad6e7784d016ed87b36","-1","2.10","0.57","0","2.7","43","1","NA","-1","-1","-1","My internet connection worked fine, being told at the very end there was a technical error around the network connection is therefore very much at your end."
"20211119_1418","binary","1","0","LnzmSXzBOVZ6LNPaAAA6","601a788b7ab49028cd7a4ad4","-1","0.13","0.59","0","0.7","48","2","NA","-1","-1","-1","I have no problem with my internet, so dissapointing not to be able to comntinue the game!"
"20211119_1418","binary","1","200","8Ssd5y7LOJdLvAQcAABM","615734b16b50355d4521f849","-1","0.00","0.56","0","0.6","21","1","NA","-1","-1","-1","My internet connection worked fine absolutely. I am unsure what the network connection error was."
"20211119_1418","binary","1","0","AQJcfnYUUQ2Yoo-4AAA8","60fd2e1dfcc8bf6dd3f57994","-1","0.13","0.69","0","0.8","25","2","NA","-1","-1","-1","My internet has been fine all day, I was looking forward to participating in this experiment."
"20211119_1418","binary","1","20","hVv2FW55fOLxW2g4AABj","5c50efd2cc71f4000125ce0d","-1","0.18","0","0","0.2","46","2","NA","-1","-1","-1","It was fun."
"20211119_1418","binary","1","20","26C-imXJ_yPUONRsAAAz","5cb9bdde3eb01800129f81d7","-1","1.16","0.2","0","1.4","39","1","NA","-1","-1","-1","I seemed to have no problems."
"20211119_1418","binary","1","20","K8e1ORurR9FtLv-SAAAT","6135179607af5a02d17c0565","-1","0.78","0.55","0","1.3","40","1","NA","-1","-1","-1","My internet connection is wired and very good virgin media. I would like to participate fully"
"20211119_1418","binary","1","20","DGMrwu36JjiwVyd2AAAA","59feed1da383a100011b3eaa","-1","0.88","0.61","0","1.5","46","1","NA","-1","-1","-1","It seems to be working at my end as I can access webpages on my mobile device."
"20211119_1418","binary","1","200","Wr-PKGxzssNLBrOUAABV","6160453acd72473b7c03c1d7","-1","0.00","0.68","0","0.7","32","2","NA","-1","-1","-1","My internet connection is fine. This is the second/third study where waiting for other people has caused a server issue. I suggest when people are creating these studies, they are checking and testing them more thoroughly!"
"20211119_1418","binary","1","20","Y25GYSatn4nfHIlMAABh","5e72175468f83213c01be3ef","-1","0.18","0.21","0","0.4","29","2","NA","-1","-1","-1","As far as I know there were no issues with my internet connection. There was no lag, delay or buffering surrounding decisions made or loading screens."
"20211119_1418","binary","1","0","Uh5pDuC0lry1SqxCAAA4","5fd93a1e8950531f9a92074d","-1","0.13","0.8","0","0.9","22","1","NA","-1","-1","-1","I was randomly kicked from the study due to an error around entwork connection. My connection was fine and I now feel I have wasted my time waiting for no chance to actually take part in th study."
"20211119_1418","binary","1","200","X7qCRB4ioe9PVEtCAAAO","5eaac092d8a78e0172680a0e","-1","1.79","0.4","0","2.2","30","1","NA","-1","-1","-1","My internet connection is fine. I have no idea what has happened but my internet is fine, it must have been a problem with your task servers or something."
"20211119_1418","binary","1","200","FJaxegA0Z_hcIWDlAAAg","613b326d36221fa8c02b863f","-1","0.67","0.78","0","1.5","34","2","NA","-1","-1","-1","not sure what happened, there was a technical error around the network connection apparently.  i like that we were paid for waiting for the other players and it was a fun game.  shame it errored out"
"20211119_1418","binary","1","200","m4UemilsrzZVCbdaAABW","607583e0c86113a48cbdc1e2","-1","0.00","0.3","0","0.3","24","2","NA","-1","-1","-1","my internet is working perfectly fine - can you try just enter me back in the study?"
"20211119_1418","binary","1","0","aA-lmNWu7Rm3fSnsAABC","5f563d4bc1684c0241b17264","-1","0.23","0.52","0","0.8","23","1","NA","-1","-1","-1","My internet connection is fine but for some reason the study was halted with an error message saying that there was a technical error that happened around the network connection."
"20211119_1418","binary","1","20","Sw_f8awkGJq-g_mEAAAx","5bad1d74d4d34100017cd193","-1","0.18","0.79","0","1","54","1","NA","-1","-1","-1","My connection didn't cut out so can't understand why this happened? Although it's probably a part of the task and was meant to happen."
"20211119_1418","binary","1","0","bYfI_Frtf-L-KAMSAAAZ","5a9a9a5335237b0001129318","-1","2.10","0.19","0","2.3","58","2","NA","-1","-1","-1","it was until there was a technical error"
"20211119_1418","binary","1","0","ehgHpgyO3spWRG-mAAA5","60aa6c8804d2aae2b7cce9d5","-1","0.13","0.18","0","0.3","52","2","NA","-1","-1","-1","It was fun and interesting once I had read the instructions several times to make sure that I understood!
My internet connection seems fine."
"20211119_1418","binary","1","200","snz7t_FWMXoNXe2NAABN","5aafd9eff69e940001d88bf4","-1","0.00","0.65","0","0.7","55","2","NA","-1","-1","-1","My internet has a habit of disappearing without warning so I couldn't say. I thought it was all ok though until I got redirected."
"20211119_1418","binary","1","200","m9AI8tHjRSMNsOneAABX","5ea3319a6a1a5b2a1175ed6e","-1","0.00","0.12","0","0.1","70","1","NA","-1","-1","-1","The questions didn't seem at all clear to me"
"20211119_1418","binary","1","0","Rw2F2IpqH-Co2JtAAABG","5ea1c935df1e160ae8532b18","-1","0.05","0.48","0","0.5","31","1","NA","-1","-1","-1","Yes my Virgin Media Internet is very stable indeed. A shame as I rea all the instructions and was getting into this group task. :)"
"20211119_1418","binary","1","200","9EXScen4wwltz7ZGAAAJ","5980a6561d20fd0001e6f53f","-1","1.79","0.29","0","2.1","59","1","NA","-1","-1","-1","My internet connection is working very well, I never get a drop in connecion. I assume it is a fault in the survey or part of the survey."
"20211119_1418","binary","1","200","MfurXxbx3MDAPP28AABQ","5c2ff627407f1b0001f43f31","-1","0.00","0.4","0","0.4","26","2","NA","-1","-1","-1","I'm really gutted as I had no internet issues my end and the survey has ended due to a technical error!"
"20211119_1418","binary","1","0","_Qc7C4s_vNMq58QvAABc","616e0508ac865259ead8258e","-1","0.00","0.17","0","0.2","42","1","NA","-1","-1","-1","Not sure what happened, everything seems to be going ok. My internet is pretty stable so it's unclear what happened. Apologies about this.

"
"20211119_1418","binary","1","0","_ldxkrmcyBWgRAeqAABI","5f730f95d56846036b17e717","-1","0.05","0.28","0","0.3","64","1","NA","-1","-1","-1","My internet connection was fine, i was doing everything I was told to do "
"20211119_1418","binary","1","200","c7AAy5opPMkou0NjAABY","5ea07fc202b8bd05bb59bc38","-1","0.00","0.03","0","0","73","2","NA","-1","-1","-1","no problem with internet connection. Study didnt seem difficult to understand but didn't answer comprehension questions - sorry."
"20211119_1418","binary","1","0","dVLbJsc302E52jZ9AAAl","6141f7a099e55e62d025435e","-1","2.11","0.19","0","2.3","45","2","NA","-1","-1","-1","My internet connection has remained constant throughout the task.  The task itself was fun, however there appeared to be a problem insofar as the amount required to show the other group members the total per slot machine was always 0. Also, the timer used on the aforementioned screen seemed to be a bit quick."
"20211119_1418","binary","1","0","yySaqRdj-huOyxj2AAA7","611e94b5e79d6e8a12b93c21","-1","0.23","0.18","0","0.4","37","2","NA","-1","-1","-1","My internet connection worked very well. I thought the concept of the experiment was very good."
"20211119_1418","binary","1","0","uPgEaTFDEhdNsEwtAABK","5c373559d0cc7a0001dde481","-1","0.05","0.66","0","0.7","28","2","NA","-1","-1","-1","I was waiting for the study to begin (said 3/5 players pending). I looked away from the screen for a second and when I looked back the game begun! I selected that I was still here and played the game for 2 rounds before the questionair appeared due to technical issues. When playing the game I could revel the outsome of my slot for no cost.

Once the technical issued are fixed I would be happy to be re-intived into this study again."
"20211119_1418","binary","1","200","f_8yCqWwcUUVzzHkAAAS","60535adfff835194160cd3bb","-1","1.79","0.36","0","2.2","59","1","NA","-1","-1","-1","My internet connection worked well, however after I completed 52 or 53 of the 60 tasks then suddenly was sent to this page (technical error around network connection). There was no error at my end as my connection is fine (I have an online radio playing and it is still playing!). The task was interesting, I started by clicking machine 1 and 2, and it became clear that 1 was a higher payout so I then stuck with that, however every now and then it went to a 0 payout. I still think overall it would have paid out more. I didn't choose to share my results as I guessed other would work it out for themselves."
"20211119_1418","binary","1","20","bzIGraUHO5wjgDyqAABp","6091b2b1fec07f6e3f674cd3","-1","0.00","0.08","0","0.1","29","2","NA","-1","-1","-1","I do not have any comments
"
"20211119_1418","binary","1","0","KIc4qwgVOXoRyPwdAABk","616e394f43b89e26751a2ae9","-1","0.00","0.2","0","0.2","42","1","NA","-1","-1","-1",""
"20211119_1418","2","1","0","PjQcy3VG6RPT-BXXAABl","60d704f1c9c2e8aa8fbf8f3f","","2.09","0.71","0.8","3.6","31","1","NA","4","4","-1","It took me roughly 10 turns to figure out that machine 2 paid out slightly more on average. Once I had this information, I kept sharing my findings with others until approx half way through. I then thought others would have had sufficient information to identify their highest paying machine so I stopped sharing to maximize the prize fund."
"20211119_1418","2","1","0","Bw7WffO6ibKcmQWHAABK","5e28e735ea776009d4d15c34","","2.21","0.2","0.8","3.2","35","1","NA","2","-1","4","Mostly randaom on the slots i chose. I always shared information as a rule"
"20211119_1418","2","1","0","CsMnrv8EWqgQ2_xbAABb","5fd9e1d7f35a0e508fd433d1","","2.26","0.15","0.8","3.2","33","1","NA","5","3","5","I went with the points on the slot and the color."
"20211119_1418","2","1","0","adn0TLMDOLFSmYQaAABL","5c98c51774cc7f0001e67c8c","","2.21","0.63","0.8","3.6","48","2","NA","5","4","4","At the beginning I chose the opposite slot which was higher than the one with the amount displayed above it.  I then found out that it was better to choose the slot with the amount displayed as I could earn more coins that way. I noticed that the cost was '0' to share so I chose only to share the highest amount of coins. "
"20211119_1418","2","1","0","uVCXxpeXWr4mJjBjAABZ","5f6ac50f96efff1a56793898","","2.26","1.04","0.8","4.1","31","2","NA","5","5","3","After choosing them at random, I noticed the purple slot to have a better consistency for me, so it became my trusted go to. The red had a lot of lower points, but if lucky, a nice 200+ could pop in.
When I noticed that sharing my info was 0 points, I did not mind sharing them all, but at most, chose to share the consistency of the purple, hoping my member(s) would see the trend and choose it as well."
"20211119_1418","binary","1","20","SDJ0OeNvz76RLMrgAABm","61169988cf61a1a4c41fdf9c","-1","1.36","0.34","0","1.7","33","1","NA","-1","-1","-1","I was left waiting for others for around 20 minutes, and then was told I navigated away. I hope this does not affect my compensation."
"20211119_1418","2","0","0","ZxYpWYo9ejqlxGZWAABX","5ea000d6e849b0000814e9d5","","2.31","0.18","0.8","3.3","47","2","NA","5","-1","-1","slot one i tried 5 times to see what it was pattern wise for payments, then i tried slot 2 10 times to see if the lower rate it showed first ran for a lot of attempts. i went for the slot 1 as it seemed more consistent in money level with the occasional slot 2 in case a large figure appeared. The game froze initially for a good 10 mins on the trial example so i didn't see any sharing options for data."
"20211119_1418","binary","-1","200","46uOWfyJAEEHQag_AABV","60315645c8c7420a2f1ade9c","-1","0.00","3.2","0","3.2","34","1","NA","-1","-1","-1","I was waiting for the study to load and the study did not load therefore i have been waiting in the waiting room for over an hour"
"20211119_1418","binary","-1","200","jevA5MWSXwwGhnbuAABW","573dbfc9cc30e7000dc57410","-1","0.00","5.24","0","5.2","56","2","NA","-1","-1","-1","I waited in the waiting room for about 50 minutes and watched the waiting bonus increase to 100 and then start again and waited until it got to 51 which took ages.  It said not to navigate away so I did not but it took so long I gave up as it was not a good use of my time.  "
"20211119_1418","binary","-1","200","qDRCeCSptZt2znMcAABe","5dd06ed53c870a1526a78264","-1","1.40","2.27","0","3.7","45","2","NA","-1","-1","-1","I waited in the “waiting room” for I more than 15 minutes, my waiting bonus went to .90 then to .22 pence. I think something might be wrong with the study, so I went back to prolific page. "
"20211119_1418","binary","-1","200","FoHPBn2vtbGb30p6AABg","5f323237a6342a17e390a7c8","-1","0.00","2.98","0","3","30","2","NA","-1","-1","-1","didnt work was waiting a while in the waiting room"
"20211119_1418","binary","-1","200","zha9bcwDJEpOjNZDAABi","56896433d3d6a7000ca23d94","-1","0.00","2.8","0","2.8","38","2","NA","-1","-1","-1","I was in the waiting room for around 40 minutes, I sent a message to check if anything was broken. My waiting bonus went up to £1 and then restarted again back down to 0. "
"20211119_1418","binary","1","200","V5jsVAauDjJuiAPDAABj","INHOUSETEST3","-1","0.00","0.2","0","0.2","","","NA","-1","-1","-1","test by Wataru"
"20211119_1418","binary","1","200","iyBNrqf1bpsTNqIwAABk","INHOUSETEST3","-1","1.42","0.2","0","1.6","","","NA","-1","-1","-1","test by wataru"
